# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     65.26     -57.93       3.97       0.00       0.00       0.00       2.33       0.09   12.225           './gold_soln_AV-procd_m1_9.sdf'     'AV-unprocessed.smi:1'
     64.32     -63.75       0.94       0.00       0.00       0.00       1.18       0.06    9.305           './gold_soln_AV-procd_m2_4.sdf'     'AV-unprocessed.smi:1'
     62.15     -54.58       3.00       0.00       0.00       0.00       0.87       0.20   13.436           './gold_soln_AV-procd_m3_4.sdf'     'AV-unprocessed.smi:1'
     66.25     -65.37       0.99       0.00       0.00       0.00       1.24       0.21   13.692           './gold_soln_AV-procd_m4_2.sdf'     'AV-unprocessed.smi:1'
     70.30     -55.96       4.40       1.00       0.00       0.00       1.02       0.17   13.448           './gold_soln_AV-procd_m5_8.sdf'     'AV-unprocessed.smi:1'
     67.49     -57.31       3.91       0.25       0.00       0.00       1.37       0.42    4.200           './gold_soln_AV-procd_m6_2.sdf'     'AV-unprocessed.smi:1'
     66.96     -62.85       2.56       0.00       0.00       0.00       1.86       0.16   13.584           './gold_soln_AV-procd_m7_5.sdf'     'AV-unprocessed.smi:1'
     63.62     -52.58       2.79       1.70       0.00       0.00       1.29       0.13   13.422           './gold_soln_AV-procd_m8_2.sdf'     'AV-unprocessed.smi:1'
     60.66     -53.31       2.87       0.00       0.00       0.00       0.71       0.16   13.232           './gold_soln_AV-procd_m9_8.sdf'     'AV-unprocessed.smi:1'
     57.97     -54.81       1.30       0.00       0.00       0.00       0.41       0.07   13.921          './gold_soln_AV-procd_m10_7.sdf'     'AV-unprocessed.smi:1'
     60.57     -54.46       2.86       0.00       0.00       0.00       1.35       0.18   13.405          './gold_soln_AV-procd_m11_3.sdf'     'AV-unprocessed.smi:1'
     61.21     -61.84       1.54       0.00       0.00       0.00       2.75       0.24   13.582          './gold_soln_AV-procd_m12_7.sdf'     'AV-unprocessed.smi:1'
     69.22     -67.17       1.00       0.00       0.00       0.00       0.54       0.14   13.534          './gold_soln_AV-procd_m13_6.sdf'     'AV-unprocessed.smi:1'
     59.70     -55.98       1.86       0.00       0.00       0.00       0.99       0.11   13.414          './gold_soln_AV-procd_m14_9.sdf'     'AV-unprocessed.smi:1'
     66.49     -64.46       1.00       0.00       0.00       0.00       0.56       0.15   13.612          './gold_soln_AV-procd_m15_1.sdf'     'AV-unprocessed.smi:1'
     62.73     -56.39       1.90       1.00       0.00       0.00       1.38       0.40   13.737          './gold_soln_AV-procd_m16_3.sdf'     'AV-unprocessed.smi:1'
     64.38     -53.73       3.72       1.00       0.00       0.00       1.98       0.47   14.686         './gold_soln_AV-procd_m17_10.sdf'     'AV-unprocessed.smi:1'
     61.44     -55.36       1.99       1.00       0.00       0.00       1.86       0.37   15.483          './gold_soln_AV-procd_m18_3.sdf'     'AV-unprocessed.smi:1'
     62.71     -57.70       1.86       0.00       0.00       0.00       0.69       0.55   14.870          './gold_soln_AV-procd_m19_2.sdf'     'AV-unprocessed.smi:1'
     66.82     -54.08       2.98       1.79       0.00       0.00       1.12       0.64   14.802          './gold_soln_AV-procd_m20_6.sdf'     'AV-unprocessed.smi:1'
     65.15     -53.96       4.60       0.00       0.00       0.00       1.43       0.24   15.055          './gold_soln_AV-procd_m21_3.sdf'     'AV-unprocessed.smi:1'
     68.71     -57.66       3.88       0.45       0.00       0.00       1.13       0.31   14.771         './gold_soln_AV-procd_m22_10.sdf'     'AV-unprocessed.smi:1'
     58.74     -58.25       1.82       0.00       0.00       0.00       2.78       0.60   14.728          './gold_soln_AV-procd_m23_9.sdf'     'AV-unprocessed.smi:1'
     66.11     -62.22       2.38       0.00       0.00       0.00       1.87       0.51   15.598          './gold_soln_AV-procd_m24_5.sdf'     'AV-unprocessed.smi:1'
     62.91     -51.14       5.07       0.00       0.00       0.08       2.06       0.45   15.224          './gold_soln_AV-procd_m25_2.sdf'     'AV-unprocessed.smi:2'
     63.68     -60.81       2.00       0.00       0.00       0.00       1.65       0.17   14.920          './gold_soln_AV-procd_m26_7.sdf'     'AV-unprocessed.smi:2'
     48.44     -40.38       2.00       0.85       0.00       0.00       0.35       0.20    6.772          './gold_soln_AV-procd_m27_3.sdf'     'AV-unprocessed.smi:3'
     48.48     -36.93       2.44       1.49       0.00       0.12       0.17       0.23    2.020          './gold_soln_AV-procd_m28_3.sdf'     'AV-unprocessed.smi:3'
     52.64     -37.25       5.67       0.00       0.00       0.00       0.92       0.20    4.016          './gold_soln_AV-procd_m29_6.sdf'     'AV-unprocessed.smi:3'
     51.98     -37.36       5.18       0.00       0.00       0.04       0.56       0.19    5.556          './gold_soln_AV-procd_m30_1.sdf'     'AV-unprocessed.smi:3'
     46.22     -37.45       1.99       1.00       0.00       0.96       0.26       1.28    6.611         './gold_soln_AV-procd_m31_10.sdf'     'AV-unprocessed.smi:3'
     45.55     -37.19       1.90       1.02       0.00       1.36       0.29       1.53    6.686         './gold_soln_AV-procd_m32_10.sdf'     'AV-unprocessed.smi:3'
     46.80     -33.00       5.00       0.00       0.00       0.00       0.68       0.15    9.723          './gold_soln_AV-procd_m33_6.sdf'     'AV-unprocessed.smi:4'
     49.17     -33.58       3.98       1.56       0.00       0.00       0.59       0.12   10.734          './gold_soln_AV-procd_m34_1.sdf'     'AV-unprocessed.smi:4'
     52.24     -35.38       5.56       0.69       0.00       0.00       1.03       0.12    9.882          './gold_soln_AV-procd_m35_1.sdf'     'AV-unprocessed.smi:4'
     49.50     -51.50       0.00       0.00       0.00       0.00       1.06       0.11   10.815          './gold_soln_AV-procd_m36_8.sdf'     'AV-unprocessed.smi:4'
     47.97     -42.23       1.99       0.08       0.00       0.00       0.28       0.06    4.798          './gold_soln_AV-procd_m37_5.sdf'     'AV-unprocessed.smi:5'
     51.07     -44.59       2.45       0.00       0.00       0.00       0.46       0.06    6.925         './gold_soln_AV-procd_m38_10.sdf'     'AV-unprocessed.smi:5'
     48.67     -48.30       0.60       0.00       0.00       0.00       0.75       0.08    6.953         './gold_soln_AV-procd_m39_10.sdf'     'AV-unprocessed.smi:6'
     52.69     -45.70       2.00       1.00       0.00       0.00       1.04       0.07    6.818          './gold_soln_AV-procd_m40_4.sdf'     'AV-unprocessed.smi:6'
     51.57     -45.96       1.00       1.00       0.00       0.00       0.24       0.07    6.949          './gold_soln_AV-procd_m41_3.sdf'     'AV-unprocessed.smi:6'
     49.43     -38.94       3.00       0.89       0.00       0.00       0.63       0.07    6.934          './gold_soln_AV-procd_m42_1.sdf'     'AV-unprocessed.smi:6'
     61.67     -53.72       2.57       1.00       0.00       0.00       1.40       0.01   10.737          './gold_soln_AV-procd_m43_3.sdf'     'AV-unprocessed.smi:7'
     62.75     -53.07       2.90       1.00       0.00       0.00       1.02       0.01   10.903         './gold_soln_AV-procd_m44_10.sdf'     'AV-unprocessed.smi:7'
     44.46     -36.62       1.86       1.04       0.00       0.00       0.43       0.00    7.021          './gold_soln_AV-procd_m45_9.sdf'     'AV-unprocessed.smi:8'
     45.66     -33.29       3.26       1.00       0.00       0.00       0.21       0.01    2.107          './gold_soln_AV-procd_m46_1.sdf'     'AV-unprocessed.smi:8'
     44.08     -30.23       2.98       2.17       0.00       0.00       0.80       0.01    7.646          './gold_soln_AV-procd_m47_9.sdf'     'AV-unprocessed.smi:8'
     50.12     -37.63       2.82       1.84       0.00       0.00       0.75       0.01    7.066          './gold_soln_AV-procd_m48_8.sdf'     'AV-unprocessed.smi:8'
     45.85     -38.19       2.08       0.79       0.00       0.00       0.48       0.01    7.628          './gold_soln_AV-procd_m49_1.sdf'     'AV-unprocessed.smi:9'
     45.22     -37.97       2.00       0.52       0.00       0.00       0.16       0.01    7.617          './gold_soln_AV-procd_m50_3.sdf'     'AV-unprocessed.smi:9'
     46.27     -38.89       2.00       0.77       0.00       0.00       0.47       0.01    7.446          './gold_soln_AV-procd_m51_3.sdf'     'AV-unprocessed.smi:9'
     47.07     -45.58       1.00       0.00       0.00       0.04       0.74       0.01    7.418          './gold_soln_AV-procd_m52_4.sdf'     'AV-unprocessed.smi:9'
     48.72     -40.69       2.00       1.00       0.00       0.00       0.54       0.12    7.046          './gold_soln_AV-procd_m53_4.sdf'    'AV-unprocessed.smi:10'
