Smiles	ZINC_id
Nc1ncnc2c1nc1n2[C@@H]2O[C@H](C1)[C@@H](O)[C@H]2O	ZINC000043771698
Nc1ncnc2c1ncn2[C@H]1O[C@@H](C(=O)NO)[C@@H](O)[C@H]1O	ZINC000005008971
Nc1ncnc2c1ncn2[C@@H]1O[C@@H](C(=O)NO)[C@@H](O)[C@H]1O	ZINC000005008973
Nc1ncnc2c1ncn2[C@H]1O[C@@H](C(=O)NO)[C@@H](O)[C@@H]1O	ZINC000005008974
Nc1ncnc2c1ncn2[C@@H]1O[C@@H](C(=O)NO)[C@@H](O)[C@@H]1O	ZINC000005008975
C#CCOc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(N)n1	ZINC000407947201
CN(C)/C=N/c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	ZINC000001237666
C#CCNc1ncnc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O	ZINC000005215324
C#CCNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O	ZINC000005215325
C#CCNc1ncnc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O	ZINC000005215326
C#CCNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O	ZINC000005215327
CN(C)/C=N/c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000005957173
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O	ZINC000008586013
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O	ZINC000008586014
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O	ZINC000008586015
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O	ZINC000008586016
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	ZINC000013515580
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000013783881
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000013783882
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O	ZINC000022049360
[N-]=[N+]=Nc1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O	ZINC000022049365
[N-]=[N+]=Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(N)n1	ZINC000032091424
