Title,docking score,glide ligand efficiency,MMGBSA dG Bind
nsp14_final.casp - minimized,,,
ZINC000253487336,-11.842,-0.275,-82.2
ZINC000245240006,-9.531,-0.217,-80.29
ZINC000245240008,-10.907,-0.248,-78.93
ZINC000253487338,-11.705,-0.272,-78.2
ZINC000005022573,-9.581,-0.228,-76.66
ZINC000253486878,-13.043,-0.29,-75.17
ZINC000150652910,-14.011,-0.326,-74.25
ZINC000017596243,-11.513,-0.274,-73.79
ZINC000102457770,-13.138,-0.299,-73.4
ZINC000049792816,-11.526,-0.281,-71.77
ZINC000253486879,-14.491,-0.322,-70.92
ZINC000253486876,-11.762,-0.261,-70.86
ZINC000150652908,-9.917,-0.22,-69.83
ZINC000102457768,-10.097,-0.229,-69.38
ZINC000245240008,-12.299,-0.28,-68.67
ZINC000080879304,-9.808,-0.338,-68.61
ZINC000008964832,-10.541,-0.363,-67.82
ZINC000009322304,-9.561,-0.33,-66.64
ZINC000085545829,-11.26,-0.289,-66.55
ZINC000097528344,-11.257,-0.341,-66.46
ZINC000008740532,-9.39,-0.324,-66.29
ZINC000008740490,-10.026,-0.334,-66.1
ZINC000070669889,-15.741,-0.35,-65.14
ZINC000001786739,-10.555,-0.364,-64.88
ZINC000005022547,-10.48,-0.25,-64.15
ZINC000253486877,-12.669,-0.282,-64.13
ZINC000070669890,-9.873,-0.219,-62.85
ZINC000005022589,-10.306,-0.245,-62.79
ZINC000245240002,-13.226,-0.301,-62.63
ZINC000253487337,-11.774,-0.274,-62.56
ZINC000008740500,-10.069,-0.347,-61.82
ZINC000008740529,-9.569,-0.299,-61.36
ZINC000009211003,-9.493,-0.288,-61.26
ZINC000245240006,-12.53,-0.285,-61.25
ZINC000150652908,-12.585,-0.28,-61.13
ZINC000008740533,-9.67,-0.333,-60.45
ZINC000008964840,-10.15,-0.308,-60.24
ZINC000005022525,-10.571,-0.252,-60.14
ZINC000245240004,-13.28,-0.302,-60.06
ZINC000504462268,-10.876,-0.351,-60.03
ZINC000009886208,-10.143,-0.317,-59.95
ZINC000070669888,-13.269,-0.295,-59.94
ZINC000005395585,-9.545,-0.329,-59.25
ZINC001772491097,-10.178,-0.299,-59.13
ZINC000008964851,-10.086,-0.325,-59.08
