,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
0,0.481,0.304,26,19.037,5.357,13.680,100.060,11.000,3.733,0.534,0.462,43.444, 4.444, 3, 1,41.176,1.219,3.410,0.313,1,ORF10
0,0.371,0.314,15,60.381,0.000,60.381,179.000,14.000,4.027,0.617,1.000,97.667, 6.000, 1, 0,9.091,1.867,3.546,0.155,1,ORF7b
0,0.270,0.653,52,160.457,43.080,117.377,577.646,32.634,3.805,0.459,0.788,36.733, 4.400, 7, 0,25.000,5.557,13.787,0.035,1,nsp6
1,0.259,0.209,36,101.063,22.567,78.496,359.758,21.846,3.769,0.457,0.722,58.273, 5.000, 4, 1,25.926,4.502,11.106,0.067,2,nsp6
2,0.256,0.657,52,134.069,35.380,98.689,450.367,36.634,3.824,0.469,0.788,56.538, 4.385, 3, -1,27.778,4.345,10.275,0.133,3,nsp6
3,0.242,0.019,45,151.965,43.279,108.687,517.107,13.556,3.779,0.502,0.400,38.091, 4.091, 4, 1,36.364,5.459,11.906,0.301,4,nsp6
4,0.234,0.000,62,189.326,131.360,57.966,590.475,3.333,3.823,0.462,0.097,16.625, 4.250, 11, 1,47.619,5.403,10.987,0.304,5,nsp6
5,0.226,0.106,26,54.714,6.429,48.285,179.884,24.000,3.676,0.433,0.962,71.667, 4.556, 2, 0,14.286,3.129,6.862,0.102,6,nsp6
6,0.209,0.713,42,149.320,12.858,136.462,579.561,30.359,4.043,0.557,0.929,64.000, 4.636, 4, 0,16.667,5.276,12.900,0.685,7,nsp6
7,0.209,0.005,55,204.231,112.472,91.760,772.616,14.526,3.962,0.568,0.345,13.824, 4.176, 10, 4,44.444,5.930,15.052,0.160,8,nsp6
8,0.071,0.000,17,67.685,39.910,27.775,199.093,5.000,3.730,0.459,0.353,8.000, 4.200, 3, -1,37.500,2.783,6.878,0.451,9,nsp6
9,0.066,0.058,25,107.547,21.805,85.742,335.942,22.750,4.114,0.573,0.960,59.714, 5.286, 3, 2,26.316,3.741,8.231,0.042,10,nsp6
10,0.053,0.000,22,66.521,29.084,37.436,157.409,3.000,3.628,0.472,0.182,26.500, 3.750, 3, 1,47.059,2.098,3.914,0.103,11,nsp6
11,0.046,0.032,24,98.600,23.727,74.873,292.824,20.818,4.006,0.551,0.917,60.250, 4.917, 4, 0,21.053,3.227,7.842,0.336,12,nsp6
12,0.021,0.144,26,96.474,1.071,95.403,337.136,22.917,4.077,0.622,0.923,75.833, 6.333, 3, 1,8.696,2.728,8.638,0.369,13,nsp6
13,0.006,0.006,24,121.064,54.644,66.420,323.544,12.000,3.891,0.485,0.583,54.100, 4.000, 3, 0,33.333,3.755,8.491,0.138,14,nsp6
14,0.004,0.001,15,49.321,15.111,34.209,151.695,10.000,3.979,0.654,0.733,46.000, 4.400, 2, 0,25.000,1.426,3.147,0.152,15,nsp6
15,-0.003,0.012,17,87.226,8.572,78.654,337.382,15.000,4.217,0.675,0.941,36.857, 4.714, 5, 2,20.000,2.815,6.543,0.121,16,nsp6
16,-0.019,0.000,16,66.227,42.075,24.153,218.714,1.000,3.955,0.550,0.125,33.000, 4.167, 3, 0,50.000,1.813,5.880,0.504,17,nsp6
0,0.228,0.237,52,76.139,16.094,60.045,306.821,31.778,3.650,0.364,0.692,59.294, 5.176, 8, 0,25.806,4.236,11.450,0.077,1,nsp4
1,0.144,0.011,34,50.294,12.858,37.436,188.537,15.765,3.671,0.403,0.500,62.333, 4.083, 4, 0,36.364,2.960,8.064,0.000,2,nsp4
2,0.114,0.998,145,363.415,50.580,312.835,1254.437,57.053,3.900,0.473,0.917,59.375, 4.469, 8, 0,16.279,9.024,26.626,0.129,3,nsp4
3,0.100,0.002,38,124.019,76.605,47.414,435.555,19.048,3.683,0.411,0.553,23.500, 3.875, 7, 0,43.333,5.225,11.281,0.100,4,nsp4
4,0.095,0.006,24,36.778,5.379,31.398,136.692,19.000,3.649,0.410,0.833,35.400, 4.800, 6, 2,31.579,2.227,5.391,0.169,5,nsp4
5,0.073,0.001,20,17.706,3.214,14.492,90.964,15.000,3.645,0.490,0.800,68.889, 4.778, 3, 0,18.750,1.305,2.814,0.043,6,nsp4
6,0.042,0.003,41,88.376,42.407,45.969,286.221,18.000,3.906,0.489,0.463,52.700, 4.400, 3, 1,30.769,3.238,7.534,0.263,7,nsp4
7,0.042,0.001,16,14.219,2.143,12.076,78.998,14.000,3.725,0.502,0.938,81.429, 5.429, 2, 0,26.667,0.950,2.376,0.020,8,nsp4
8,0.036,0.001,15,33.405,3.214,30.191,83.887,10.000,3.500,0.319,0.733,71.333, 4.833, 2, 0,30.769,1.779,3.752,0.066,9,nsp4
9,0.011,0.026,28,98.455,5.468,92.987,338.247,25.857,3.937,0.534,1.000,88.889, 5.333, 1, 1,9.091,3.791,8.494,0.082,10,nsp4
10,-0.007,0.003,16,44.138,4.286,39.852,132.049,15.000,3.743,0.375,1.000,70.125, 4.000, 0, 0,23.077,1.739,4.775,0.079,11,nsp4
11,-0.009,0.000,19,80.381,55.021,25.360,276.238,2.000,3.958,0.637,0.158,19.714, 5.000, 5, 2,50.000,3.137,6.892,0.487,12,nsp4
12,-0.016,0.001,19,74.333,24.821,49.513,178.259,10.000,3.694,0.503,0.579,19.000, 4.400, 3, 0,26.316,2.853,6.833,0.298,13,nsp4
13,-0.017,0.000,20,74.938,48.371,26.568,226.888,2.000,3.783,0.489,0.150,6.625, 5.000, 6, 0,52.941,2.783,6.494,0.214,14,nsp4
14,-0.022,0.000,16,89.129,52.900,36.229,253.315,5.000,3.788,0.555,0.375,23.857, 4.143, 4, -1,43.750,3.518,7.202,0.159,15,nsp4
15,-0.024,0.001,19,65.317,27.880,37.436,229.695,10.000,4.110,0.632,0.579,41.143, 4.857, 3, 0,35.294,2.367,5.387,0.361,16,nsp4
16,-0.025,0.001,21,73.195,23.683,49.513,255.103,2.000,3.978,0.495,0.143,2.000, 3.778, 5, 0,33.333,2.625,6.827,0.145,17,nsp4
17,-0.025,0.001,16,36.760,15.023,21.737,86.948,10.000,3.593,0.386,0.688,17.286, 4.000, 6, -2,30.769,1.221,2.697,0.252,18,nsp4
18,-0.026,0.002,26,135.745,36.739,99.005,441.402,8.000,4.108,0.586,0.423,51.818, 4.545, 4, 1,34.783,5.055,11.023,0.061,19,nsp4
