,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
0,0.868,0.962,70,27.606,0.000,27.606,621.821,55.600,3.982,0.546,1.000,79.467, 5.067, 1, 0,0.000,5.096,14.433,0.238,1,nsp6
1,0.787,0.779,61,24.570,0.000,24.570,570.143,46.557,3.931,0.536,1.000,26.385, 4.769, 8, 2,0.000,4.997,12.347,0.291,2,nsp6
2,0.666,0.598,47,21.654,0.000,21.654,584.828,39.362,4.101,0.579,1.000,47.750, 4.583, 6, 1,0.000,4.679,12.641,0.281,3,nsp6
3,0.560,0.453,46,16.547,0.000,16.547,372.422,41.913,3.879,0.509,1.000,19.600, 4.200, 7, 1,0.000,3.682,10.122,0.199,4,nsp6
4,0.486,0.055,25,15.140,0.000,15.140,481.365,22.080,4.160,0.549,1.000,10.571, 5.143, 5, 2,0.000,4.419,10.178,0.520,5,nsp6
5,0.474,0.184,37,18.196,0.000,18.196,336.951,34.973,4.038,0.727,1.000,70.500, 4.250, 1, 0,0.000,3.586,9.130,0.365,6,nsp6
6,0.464,0.019,21,11.079,0.000,11.079,292.367,16.762,3.861,0.551,1.000,47.875, 3.875, 2, 0,0.000,4.399,9.147,0.660,7,nsp6
7,0.439,0.035,26,13.029,0.000,13.029,388.224,24.923,3.957,0.612,1.000,5.625, 4.500, 5, 0,0.000,3.713,7.861,0.457,8,nsp6
8,0.434,0.046,25,12.747,0.000,12.747,349.326,22.960,4.003,0.563,1.000,11.625, 4.125, 3, 0,0.000,3.798,9.324,0.751,9,nsp6
9,0.347,0.013,17,9.932,0.000,9.932,311.925,15.529,4.040,0.680,1.000,44.000, 5.667, 2, -1,0.000,3.405,8.462,0.543,10,nsp6
10,0.327,0.015,25,14.678,0.000,14.678,309.504,24.000,3.997,0.748,1.000,29.000, 4.333, 4, 1,0.000,2.763,5.790,0.246,11,nsp6
11,0.321,0.009,22,8.364,0.000,8.364,264.802,21.000,4.156,0.612,1.000,30.500, 5.500, 4, 3,0.000,2.673,5.489,0.179,12,nsp6
12,0.319,0.014,25,11.280,0.000,11.280,252.064,24.000,4.169,0.644,1.000,46.500, 5.000, 1, 1,0.000,2.553,5.693,0.233,13,nsp6
13,0.305,0.007,17,11.139,0.000,11.139,328.532,16.000,4.024,0.779,1.000,62.800, 6.000, 2, 1,0.000,2.972,6.791,0.233,14,nsp6
14,0.285,0.011,19,8.545,0.000,8.545,208.303,18.000,3.756,0.581,1.000,50.833, 4.333, 2, 0,0.000,2.522,7.214,0.305,15,nsp6
15,0.273,0.003,15,7.178,0.000,7.178,225.313,14.000,4.012,0.710,1.000,82.200, 4.600, 0, 0,0.000,2.647,5.403,0.344,16,nsp6
16,0.238,0.004,15,8.063,0.000,8.063,166.474,14.000,3.877,0.649,1.000,-12.333, 4.667, 2, 2,0.000,2.310,6.003,0.719,17,nsp6
17,0.208,0.002,16,9.048,0.000,9.048,110.756,15.000,3.584,0.366,1.000,56.444, 4.111, 3, 0,0.000,1.943,4.184,0.055,18,nsp6
18,0.208,0.003,17,7.962,0.000,7.962,171.415,16.000,3.855,0.545,1.000,83.429, 5.000, 1, 0,0.000,1.815,4.032,0.083,19,nsp6
19,0.180,0.003,20,7.640,0.000,7.640,73.473,19.000,3.515,0.437,1.000,23.143, 4.286, 5, 1,0.000,1.271,3.048,0.399,20,nsp6
20,0.177,0.002,15,7.278,0.000,7.278,178.665,14.000,4.137,0.604,1.000,26.000, 5.250, 2, 2,0.000,1.594,4.349,0.084,21,nsp6
0,0.834,0.877,50,19.081,0.000,19.081,379.597,38.680,3.786,0.466,1.000,11.214, 4.429, 10, 3,0.000,4.838,12.136,0.260,1,Protein_3a
1,0.828,0.291,23,14.899,0.000,14.899,514.432,12.348,3.979,0.668,1.000,58.545, 4.364, 3, 1,0.000,7.556,17.402,0.490,2,Protein_3a
2,0.746,0.487,37,19.041,0.000,19.041,465.648,27.676,4.033,0.667,1.000,56.727, 4.909, 7, 0,0.000,5.341,12.112,0.354,3,Protein_3a
3,0.699,0.800,43,19.322,0.000,19.322,446.409,41.070,4.057,0.581,1.000,49.750, 5.250, 4, 2,0.000,4.136,9.399,0.199,4,Protein_3a
4,0.573,0.381,30,14.879,0.000,14.879,422.179,26.400,3.997,0.641,1.000,64.556, 4.889, 2, 0,0.000,4.119,11.569,0.415,5,Protein_3a
5,0.384,0.033,19,8.867,0.000,8.867,286.958,17.684,3.962,0.629,1.000,47.286, 4.286, 4, 1,0.000,3.030,8.009,0.186,6,Protein_3a
6,0.301,0.008,15,7.258,0.000,7.258,198.732,14.000,3.967,0.680,1.000,24.250, 4.000, 3, 0,0.000,2.520,5.830,0.304,7,Protein_3a
7,0.297,0.007,15,9.168,0.000,9.168,222.163,14.000,3.841,0.748,1.000,97.000, 8.000, 2, 0,0.000,2.558,5.523,0.221,8,Protein_3a
8,0.294,0.010,19,9.148,0.000,9.148,211.882,18.000,3.850,0.592,1.000,54.857, 4.857, 4, 0,0.000,2.077,4.659,0.524,9,Protein_3a
9,0.235,0.005,17,7.459,0.000,7.459,182.128,16.000,3.970,0.608,1.000,22.857, 4.571, 5, 2,0.000,1.584,3.843,0.037,10,Protein_3a
10,0.220,0.005,15,8.284,0.000,8.284,136.390,14.000,3.821,0.494,1.000,30.250, 5.750, 3, 1,0.000,1.676,4.588,0.417,11,Protein_3a
0,1.256,0.997,169,58.006,0.000,58.006,1300.296,85.704,4.027,0.519,1.000,28.241, 3.897, 13, 1,0.000,8.258,21.020,0.674,1,nsp4
1,0.585,0.545,55,25.676,0.000,25.676,725.262,41.673,3.970,0.598,1.000,37.273, 4.909, 7, 2,0.000,5.580,16.545,0.271,2,nsp4
2,0.417,0.013,17,10.717,0.000,10.717,312.602,12.471,3.813,0.742,1.000,-2.500, 4.333, 5, -1,0.000,4.893,11.209,0.667,3,nsp4
3,0.400,0.066,29,13.853,0.000,13.853,477.750,24.414,4.160,0.581,1.000,15.800, 3.200, 6, 0,0.000,4.377,12.940,0.717,4,nsp4
4,0.339,0.032,30,15.401,0.000,15.401,336.217,28.000,3.910,0.598,1.000,29.273, 4.909, 6, 1,0.000,3.778,10.072,0.281,5,nsp4
