,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
0,0.418,0.111,41,125.172,33.392,91.780,511.306,12.000,3.940,0.622,0.463,24.444, 4.889, 4, 2,29.032,5.538,13.596,0.000,1,nsp6
1,0.410,0.011,45,147.468,68.972,78.496,619.781,11.000,4.056,0.624,0.267,34.500, 3.900, 5, 0,41.667,5.707,15.481,0.639,2,nsp6
2,0.273,0.459,36,126.144,27.118,99.026,482.435,18.200,3.964,0.575,0.556,20.643, 3.786, 9, 4,34.483,4.581,12.182,0.552,3,nsp6
3,0.260,0.001,36,113.446,49.442,64.004,457.564,4.500,3.936,0.500,0.222,40.000, 4.667, 4, 0,50.000,3.896,10.258,0.615,4,nsp6
4,0.173,0.093,37,132.405,49.079,83.326,374.796,18.000,3.876,0.393,0.514,35.667, 5.222, 5, 5,37.500,3.751,8.477,0.250,5,nsp6
5,0.152,0.792,28,103.448,3.214,100.233,364.897,21.917,4.123,0.580,0.857,65.727, 4.545, 3, 0,20.833,3.363,9.492,0.042,6,nsp6
6,0.131,0.001,15,50.847,27.902,22.945,185.652,3.000,4.072,0.425,0.267,37.143, 5.000, 4, 0,53.846,2.400,5.085,0.846,7,nsp6
7,0.121,0.349,22,115.234,15.000,100.233,341.930,18.100,3.916,0.418,0.909,44.273, 4.727, 7, 1,21.053,4.207,8.597,0.000,8,nsp6
8,0.118,0.000,19,67.069,23.594,43.475,170.899,1.000,3.759,0.528,0.105,6.000, 4.167, 5, 0,37.500,2.500,5.526,0.438,9,nsp6
9,0.116,0.133,24,70.975,17.365,53.611,192.188,20.000,3.837,0.563,0.875,59.000, 5.600, 2, 1,27.778,2.045,4.129,0.111,10,nsp6
10,0.114,0.137,19,54.343,0.000,54.343,148.606,18.000,3.765,0.474,1.000,78.875, 4.500, 1, 0,12.500,1.909,4.288,0.375,11,nsp6
11,0.114,0.124,15,83.481,5.402,78.080,245.364,12.143,3.806,0.585,0.933,75.000, 5.800, 2, 0,18.750,3.662,9.396,0.000,12,nsp6
12,0.102,0.007,17,70.865,14.106,56.759,249.572,9.000,4.104,0.731,0.588,17.167, 4.833, 4, 1,37.500,2.739,5.981,0.062,13,nsp6
13,0.095,0.084,19,67.567,8.572,58.995,194.688,17.000,3.953,0.495,0.947,84.200, 4.900, 1, 0,18.750,2.269,5.477,0.438,14,nsp6
14,0.066,0.141,22,103.063,28.190,74.873,222.025,18.000,3.802,0.487,0.864,68.375, 5.000, 2, 1,27.778,3.123,6.832,0.111,15,nsp6
15,0.034,0.049,15,93.514,5.357,88.157,275.073,13.000,3.890,0.607,0.933,81.625, 4.625, 1, 0,23.529,3.223,6.495,0.235,16,nsp6
16,0.031,0.012,15,79.894,14.128,65.766,279.653,8.000,4.078,0.734,0.600,22.857, 4.714, 5, 2,30.000,2.601,7.411,0.000,17,nsp6
17,0.029,0.200,22,86.813,1.071,85.742,274.427,17.000,4.004,0.554,0.818,64.857, 4.857, 3, 0,18.750,2.052,6.436,0.812,18,nsp6
18,0.022,0.000,16,64.517,24.666,39.852,188.245,2.000,4.071,0.681,0.188,2.143, 3.714, 5, 1,40.000,1.692,3.002,0.733,19,nsp6
19,0.008,0.017,16,56.286,1.071,55.214,132.799,13.000,3.833,0.631,0.875,78.000, 5.250, 1, 0,15.385,1.208,2.913,0.000,20,nsp6
0,0.069,0.460,44,108.805,8.572,100.233,484.156,31.818,4.075,0.624,0.750,60.222, 4.444, 3, 1,21.875,4.205,9.517,0.656,1,Protein_3a
1,0.031,0.001,21,50.160,10.803,39.357,142.306,8.000,3.639,0.391,0.429,20.125, 3.750, 4, 2,33.333,2.269,5.192,0.500,2,Protein_3a
