,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
0,0.425,0.142,20,62.234,13.929,48.305,194.161,8.000,3.891,0.698,0.450,33.571, 4.000, 4, 1,50.000,2.518,5.940,0.000,1,ORF10
1,0.368,0.003,17,83.281,48.260,35.021,235.992,4.000,3.707,0.520,0.294,24.667, 4.000, 3, -1,50.000,3.601,7.331,0.000,2,ORF10
2,0.328,0.133,16,54.297,26.047,28.250,219.696,10.000,4.137,0.647,0.688,46.333, 3.667, 1, 0,46.154,2.202,5.234,0.000,3,ORF10
0,0.094,0.995,179,453.441,153.949,299.492,1235.379,37.190,3.813,0.405,0.469,26.853, 3.529, 20, 0,39.583,10.161,23.927,0.416,1,helicase
1,0.079,0.017,33,51.520,14.084,37.436,201.857,18.000,3.743,0.439,0.576,35.615, 4.692, 8, 2,45.833,2.642,5.151,0.564,2,helicase
2,0.069,0.398,37,53.136,0.000,53.136,179.683,34.000,3.665,0.402,0.946,79.700, 4.400, 1, 0,8.333,2.520,6.272,0.747,3,helicase
3,0.059,0.398,37,55.551,0.000,55.551,185.580,34.000,3.665,0.403,0.946,79.700, 4.400, 1, 0,8.333,2.519,6.271,0.747,4,helicase
4,0.055,0.000,15,71.451,36.430,35.021,234.239,4.000,3.739,0.566,0.333,23.857, 4.714, 5, 0,38.889,3.753,6.817,0.744,5,helicase
5,0.052,0.017,33,58.152,19.508,38.644,201.176,18.000,3.743,0.439,0.576,35.615, 4.692, 8, 2,45.833,2.641,5.151,0.564,6,helicase
6,0.045,0.010,20,72.853,16.094,56.759,259.486,15.000,3.918,0.693,0.800,33.714, 4.286, 5, -1,26.087,3.579,8.323,0.406,7,helicase
7,0.044,0.000,15,74.138,34.287,39.852,242.479,4.000,3.740,0.566,0.333,23.857, 4.714, 5, 0,38.889,3.753,6.817,0.744,8,helicase
8,0.034,0.036,83,211.596,94.456,117.140,815.244,16.129,3.973,0.521,0.373,32.700, 4.200, 8, 3,34.483,6.816,16.429,0.583,9,helicase
9,0.023,0.008,40,142.628,83.454,59.174,430.943,6.222,3.813,0.423,0.225,12.583, 4.333, 7, 3,53.125,5.713,15.635,0.693,10,helicase
10,0.007,0.002,26,62.236,35.668,26.568,204.934,9.000,3.760,0.443,0.385,7.375, 3.375, 6, 1,41.176,2.551,6.733,0.480,11,helicase
11,-0.014,0.002,26,67.339,33.525,33.814,201.970,9.000,3.760,0.443,0.385,7.375, 3.375, 6, 1,41.176,2.551,6.730,0.480,12,helicase
12,-0.017,0.001,15,78.645,27.924,50.720,319.059,6.000,4.072,0.689,0.467,20.667, 3.500, 2, 1,35.714,3.312,7.936,0.413,13,helicase
13,-0.019,0.000,16,51.370,23.594,27.775,149.692,4.000,3.849,0.547,0.312,19.125, 4.250, 5, 1,53.846,2.076,5.482,0.618,14,helicase
14,-0.021,0.372,38,99.166,8.594,90.572,266.876,30.438,3.719,0.414,0.842,49.636, 4.182, 4, 1,21.429,3.435,7.911,0.721,15,helicase
