,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
1,0.187,0.614,47,127.220,16.138,111.082,460.413,31.657,4.060,0.477,0.745,66.000, 4.167, 2, 0,23.333,4.046,10.009,0.317,2,6w4b
0,0.329,0.861,84,198.420,76.450,121.970,907.193,22.200,3.921,0.450,0.357,14.550, 3.900, 13, 2,47.170,6.288,18.088,0.331,1,6vxs
1,0.157,0.540,60,134.585,57.296,77.288,516.693,23.120,3.792,0.502,0.417,37.133, 3.867, 6, 1,50.000,5.462,14.337,0.212,2,7bv1
2,0.141,0.902,139,272.429,100.708,171.721,895.175,24.960,3.805,0.422,0.360,17.600, 4.167, 16, 2,44.444,6.978,15.838,0.174,3,7bv1
59,-0.163,0.784,62,195.505,80.780,114.725,536.607,26.069,3.958,0.455,0.468,14.632, 3.526, 11, -1,38.462,4.611,14.860,0.674,60,7bv1
0,0.620,0.901,54,52.707,24.931,27.775,612.927,14.737,4.119,0.589,0.352,10.588, 3.824, 11, 4,45.714,5.626,16.847,0.471,1,6w01
0,0.538,0.715,63,81.440,27.096,54.343,493.659,22.320,3.928,0.464,0.397,32.000, 2.867, 3, 1,41.026,4.285,10.791,0.402,1,6w6y
0,0.450,0.589,45,77.492,19.308,58.184,334.704,16.667,3.750,0.491,0.400,25.600, 4.400, 4, 0,33.333,3.318,9.924,0.605,1,6y84
23,0.004,0.754,99,190.652,80.758,109.894,634.426,40.917,3.728,0.416,0.485,-1.167, 4.500, 5, 1,40.000,5.486,11.979,0.031,24,6vyb
116,-0.178,0.636,149,411.937,161.958,249.979,1352.357,35.000,3.895,0.507,0.483,15.147, 3.794, 19, 4,40.217,8.575,17.828,0.059,117,6vyb
160,-0.447,0.553,234,687.896,340.099,347.797,2307.550,17.968,4.034,0.502,0.269,18.646, 4.062, 28, 0,44.444,13.008,36.779,0.171,161,6vyb
0,0.727,0.998,382,636.325,194.332,441.992,2167.882,37.589,3.782,0.437,0.395,15.520, 3.600, 18, -1,44.928,14.100,28.489,0.052,1,6u7h
1,0.200,0.753,455,1239.223,546.044,693.179,3474.452,21.387,3.993,0.487,0.273,14.633, 4.033, 20, 0,48.148,17.838,43.617,0.139,2,6u7h
77,-0.104,0.905,83,192.426,76.494,115.932,574.546,46.885,3.757,0.442,0.627,24.333, 4.000, 11, 0,40.816,5.987,14.612,0.165,78,6u7h
