,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
0,0.372,0.200,40,162.407,45.267,117.140,545.605,14.300,3.817,0.575,0.500,34.364, 4.091, 5, 1,40.625,6.022,16.303,0.083,1,ORF10
1,0.270,0.368,39,120.294,34.552,85.742,421.164,22.750,3.994,0.407,0.615,67.200, 4.800, 1, 0,25.000,3.334,8.385,0.264,2,ORF10
0,0.403,0.266,18,55.257,12.990,42.267,225.502,10.000,4.114,0.691,0.611,-15.250, 3.750, 4, 0,38.462,1.967,6.035,0.242,1,ORF7b
0,0.281,0.603,61,197.487,62.233,135.254,696.240,31.304,3.914,0.551,0.754,54.583, 4.417, 5, 0,31.707,6.071,16.224,0.211,1,nsp6
1,0.254,0.002,38,115.976,59.218,56.759,473.700,8.182,4.036,0.609,0.289,44.667, 5.556, 5, 1,35.714,4.916,11.347,0.219,2,nsp6
2,0.208,0.005,26,28.962,10.847,18.114,121.287,11.000,3.596,0.435,0.462,64.143, 5.714, 5, 0,40.000,1.759,5.229,0.100,3,nsp6
3,0.204,0.003,26,37.762,17.232,20.530,142.832,8.000,3.688,0.391,0.346,65.250, 4.375, 2, 1,35.294,2.089,4.984,0.139,4,nsp6
4,0.197,0.652,41,93.813,12.902,80.911,366.911,33.829,3.773,0.446,0.854,47.167, 4.333, 2, 1,22.222,3.069,8.669,0.392,5,nsp6
5,0.194,0.102,39,97.583,35.756,61.827,289.481,24.000,3.894,0.489,0.641,14.500, 4.375, 5, 2,32.000,3.460,8.989,0.198,6,nsp6
6,0.193,0.391,33,106.778,5.357,101.421,338.944,24.690,3.731,0.417,0.879,65.417, 4.167, 2, 0,20.000,4.326,9.922,0.104,7,nsp6
7,0.187,0.018,35,87.702,26.113,61.589,209.086,11.692,3.680,0.381,0.371,67.636, 5.636, 3, 2,34.783,3.286,8.081,0.273,8,nsp6
8,0.167,0.015,28,73.372,16.138,57.234,246.021,17.000,3.972,0.653,0.643,35.091, 3.636, 6, 1,33.333,3.060,6.452,0.145,9,nsp6
9,0.146,0.003,32,86.576,43.102,43.475,318.369,13.000,3.914,0.506,0.438,22.500, 4.375, 5, 1,40.000,2.992,8.001,0.128,10,nsp6
10,0.139,0.168,35,94.899,9.732,85.167,377.291,22.833,4.021,0.636,0.686,42.250, 3.750, 3, 1,26.923,3.036,8.348,0.326,11,nsp6
11,0.134,0.024,20,51.406,5.357,46.048,252.257,17.000,4.004,0.555,0.900,33.000, 4.286, 3, 0,18.750,2.480,6.154,0.536,12,nsp6
12,0.132,0.088,39,100.890,50.823,50.067,407.363,30.000,3.928,0.536,0.795,43.000, 5.143, 4, 1,33.333,2.849,7.388,0.117,13,nsp6
13,0.127,0.033,19,66.600,1.071,65.529,228.610,18.000,3.765,0.464,1.000,72.250, 5.000, 2, 0,12.500,3.150,6.003,0.156,14,nsp6
14,0.110,0.006,16,27.921,2.165,25.756,93.408,15.000,3.600,0.409,1.000,67.778, 4.778, 2, 0,20.000,1.538,3.074,0.070,15,nsp6
15,0.108,0.025,20,66.129,11.786,54.343,254.078,17.000,3.791,0.555,0.900,69.556, 4.556, 2, 0,21.053,2.811,6.417,0.152,16,nsp6
16,0.095,0.097,27,71.136,1.094,70.042,279.543,24.000,4.178,0.658,0.926,31.571, 3.714, 1, 0,15.000,2.291,5.953,0.224,17,nsp6
17,0.088,0.130,36,146.149,43.996,102.153,471.854,24.286,3.959,0.498,0.778,56.000, 4.667, 4, -1,25.000,4.509,10.173,0.133,18,nsp6
18,0.068,0.002,16,73.357,21.429,51.928,287.200,10.000,3.937,0.764,0.688,30.333, 4.333, 2, 0,27.778,3.043,5.836,0.226,19,nsp6
19,0.040,0.000,19,54.810,36.695,18.114,205.784,1.000,3.690,0.529,0.105,31.600, 5.000, 3, 0,50.000,1.677,4.316,0.399,20,nsp6
20,0.038,0.000,17,67.364,32.343,35.021,181.475,4.000,3.887,0.701,0.294,43.000, 4.200, 4, 0,53.333,2.389,5.737,0.191,21,nsp6
21,0.008,0.009,15,74.899,9.687,65.212,234.844,13.000,3.948,0.617,0.933,48.143, 4.143, 3, -1,31.250,2.573,6.202,0.126,22,nsp6
22,-0.001,0.001,16,50.062,5.379,44.682,162.865,7.000,4.035,0.666,0.500,82.200, 4.600, 0, 0,28.571,1.302,3.691,0.575,23,nsp6
23,-0.021,0.001,17,74.060,16.094,57.966,189.775,8.000,3.993,0.512,0.529,29.800, 4.400, 3, 1,30.769,2.056,4.211,0.507,24,nsp6
24,-0.021,0.001,16,70.924,31.072,39.852,214.660,9.000,3.994,0.688,0.625,26.500, 4.000, 2, -1,35.714,1.986,4.705,0.211,25,nsp6
0,0.608,0.992,176,263.887,96.918,166.969,1027.743,42.527,3.698,0.389,0.517,42.378, 4.189, 17, 0,34.343,9.986,24.389,0.098,1,nsp4
1,0.140,0.002,28,84.886,37.789,47.097,280.274,8.000,3.834,0.585,0.429,28.750, 3.667, 3, 1,37.037,4.811,9.667,0.172,2,nsp4
2,0.110,0.001,18,83.181,30.045,53.136,343.401,5.000,3.979,0.672,0.333,37.444, 2.889, 2, -1,44.444,4.721,10.377,0.377,3,nsp4
3,0.106,0.005,23,32.962,7.522,25.439,116.207,19.000,3.508,0.344,0.870,43.750, 4.750, 4, 0,33.333,2.369,4.948,0.058,4,nsp4
4,0.077,0.002,16,26.124,5.357,20.767,91.656,11.000,3.496,0.357,0.750,61.625, 4.625, 2, -1,21.429,1.962,4.834,0.123,5,nsp4
5,0.060,0.001,41,55.405,30.045,25.360,183.818,6.000,3.861,0.507,0.171,39.538, 3.462, 4, -1,48.000,2.277,6.361,0.091,6,nsp4
6,0.058,0.002,22,39.606,11.830,27.775,122.927,11.000,3.650,0.411,0.545,61.000, 4.625, 3, 0,35.294,2.166,4.532,0.199,7,nsp4
7,0.057,0.001,18,23.244,7.544,15.699,105.975,11.000,3.667,0.412,0.667,75.444, 4.111, 0, 0,35.294,1.558,2.942,0.038,8,nsp4
8,0.044,0.171,33,98.599,12.858,85.742,362.518,28.061,3.722,0.355,1.000,66.600, 4.800, 2, 0,16.667,4.232,12.291,0.194,9,nsp4
9,0.040,0.001,17,30.994,12.880,18.114,106.641,8.000,3.541,0.370,0.529,25.875, 3.750, 5, 1,29.412,1.739,4.063,0.259,10,nsp4
10,0.040,0.007,30,75.092,26.786,48.305,203.843,17.000,3.753,0.400,0.600,51.400, 4.400, 3, 1,31.818,3.244,6.708,0.126,11,nsp4
11,0.031,0.023,29,91.060,25.848,65.212,381.677,14.125,4.078,0.543,0.552,63.667, 4.250, 2, 0,33.333,3.907,11.323,0.252,12,nsp4
12,0.029,0.001,19,21.079,5.379,15.699,90.300,9.000,3.717,0.434,0.526,55.333, 3.444, 1, 0,28.571,1.124,2.515,0.213,13,nsp4
13,0.021,0.023,24,93.923,2.143,91.780,225.524,16.700,3.650,0.598,0.833,71.571, 4.857, 1, 1,25.000,4.081,9.843,0.545,14,nsp4
14,0.013,0.007,21,75.109,17.143,57.966,199.067,19.000,3.780,0.501,0.952,31.000, 4.143, 5, -1,29.412,3.245,6.865,0.277,15,nsp4
15,0.011,0.003,16,59.789,5.446,54.343,236.575,14.000,3.946,0.707,0.938,25.250, 5.000, 2, 2,25.000,2.731,6.177,0.179,16,nsp4
16,0.003,0.001,27,58.229,26.831,31.398,264.237,12.000,3.997,0.639,0.481,42.714, 4.714, 4, -1,33.333,2.205,5.356,0.222,17,nsp4
17,0.000,0.016,41,124.649,37.700,86.949,419.767,24.074,3.804,0.437,0.659,36.500, 4.312, 5, 1,32.353,4.415,9.681,0.202,18,nsp4
18,-0.003,0.001,32,75.425,34.287,41.139,199.385,5.000,3.663,0.453,0.188,42.273, 3.909, 5, -1,42.857,2.751,6.554,0.122,19,nsp4
19,-0.012,0.026,27,79.771,10.936,68.835,218.213,25.000,3.794,0.398,0.963,53.000, 5.800, 6, 2,23.810,2.992,7.225,0.234,20,nsp4
20,-0.022,0.000,20,93.904,45.599,48.305,384.758,7.000,4.081,0.677,0.400,20.222, 4.333, 5, 0,36.364,3.658,7.018,0.268,21,nsp4
21,-0.024,0.002,23,67.319,21.429,45.890,241.104,13.000,3.945,0.529,0.609,57.000, 4.111, 1, 0,29.412,2.434,5.797,0.149,22,nsp4
22,-0.030,0.001,17,56.289,23.683,32.606,161.143,11.000,3.673,0.480,0.706,5.667, 5.167, 5, 1,33.333,2.086,5.727,0.137,23,nsp4
23,-0.031,0.003,21,54.193,20.380,33.814,214.427,20.000,4.117,0.617,1.000,52.833, 5.333, 4, -1,21.053,1.852,5.429,0.333,24,nsp4
24,-0.032,0.003,23,77.135,21.584,55.551,296.320,19.000,4.071,0.542,0.870,62.167, 5.833, 4, 0,26.316,2.796,5.857,0.218,25,nsp4
25,-0.040,0.002,23,64.245,26.809,37.436,204.619,18.000,3.703,0.480,0.826,40.600, 4.600, 3, -1,27.778,2.148,5.805,0.229,26,nsp4
26,-0.045,0.006,18,74.056,6.429,67.627,218.245,17.000,3.854,0.637,1.000,82.600, 4.400, 0, 0,6.667,2.678,5.895,0.356,27,nsp4
27,-0.051,0.003,34,131.801,50.890,80.911,376.766,11.176,3.955,0.413,0.500,34.214, 4.429, 7, 1,29.167,4.528,10.275,0.375,28,nsp4
28,-0.054,0.000,21,74.953,40.981,33.972,187.913,4.000,3.687,0.428,0.238,20.500, 4.625, 6, 2,40.000,2.500,5.326,0.075,29,nsp4
29,-0.057,0.000,15,54.764,25.781,28.983,135.605,2.000,3.710,0.429,0.200,20.000, 2.800, 2, 0,41.667,1.784,3.629,0.462,30,nsp4
30,-0.059,0.001,34,136.418,59.129,77.288,452.580,2.333,3.926,0.523,0.176,23.455, 4.091, 7, 0,46.154,4.660,12.809,0.242,31,nsp4
31,-0.067,0.042,54,136.956,57.252,79.703,397.640,24.000,4.100,0.470,0.481,26.083, 4.750, 7, 3,46.667,3.921,9.961,0.215,32,nsp4
32,-0.069,0.001,21,87.828,43.146,44.682,275.193,10.000,3.897,0.550,0.524,28.750, 4.000, 3, 1,35.000,2.832,6.289,0.177,33,nsp4
33,-0.080,0.849,130,273.891,91.539,182.352,835.679,56.811,3.906,0.480,0.569,19.667, 4.333, 15, 1,36.232,6.171,15.856,0.245,34,nsp4
34,-0.080,0.002,20,80.058,25.715,54.343,209.369,13.000,3.869,0.599,0.700,30.125, 3.875, 2, 0,25.000,2.498,6.969,0.175,35,nsp4
35,-0.082,0.001,24,75.755,31.072,44.682,217.450,11.000,4.006,0.633,0.500,-21.143, 3.571, 5, 0,36.842,2.137,5.442,0.211,36,nsp4
36,-0.092,0.000,27,110.764,72.120,38.644,370.062,1.000,3.956,0.505,0.074,13.222, 3.333, 6, 0,52.381,3.451,10.176,0.402,37,nsp4
37,-0.104,0.027,62,177.107,75.666,101.441,547.394,21.154,4.053,0.492,0.419,22.214, 4.857, 9, 3,40.541,4.745,11.268,0.156,38,nsp4
38,-0.114,0.000,39,139.678,84.127,55.551,436.337,8.000,3.973,0.533,0.231,42.846, 4.846, 7, -1,45.161,3.982,9.790,0.261,39,nsp4
39,-0.125,0.001,20,93.478,24.644,68.835,319.985,11.000,4.074,0.621,0.600,30.143, 4.000, 0, 0,33.333,2.573,6.427,0.335,40,nsp4
40,-0.151,0.007,28,135.573,45.001,90.572,389.408,21.826,3.923,0.535,0.821,55.111, 4.889, 3, 0,26.087,3.755,8.711,0.364,41,nsp4
41,-0.191,0.412,106,327.901,107.004,220.897,1181.877,43.342,4.001,0.453,0.717,40.583, 4.583, 10, 3,31.343,7.050,16.559,0.149,42,nsp4
42,-0.252,0.002,72,242.384,126.135,116.249,826.736,16.200,4.077,0.516,0.278,-4.632, 3.684, 13, 0,46.809,5.308,13.004,0.166,43,nsp4
0,0.172,0.078,60,229.143,43.168,185.975,1021.330,18.057,4.030,0.551,0.583,42.737, 4.053, 5, 5,33.333,7.327,16.979,0.171,1,M_protein
1,0.127,0.983,85,236.820,50.845,185.975,805.710,58.658,3.913,0.491,0.894,51.467, 4.800, 6, 0,23.214,6.052,19.245,0.075,2,M_protein
2,0.106,0.001,19,63.373,25.936,37.436,225.149,5.000,3.808,0.689,0.316,22.429, 4.000, 3, 2,50.000,3.248,8.245,0.186,3,M_protein
3,0.097,0.001,15,59.775,24.754,35.021,261.625,9.000,4.063,0.580,0.667,43.000, 5.167, 3, 2,42.857,3.229,6.738,0.162,4,M_protein
4,0.087,0.003,26,76.435,25.715,50.720,291.257,23.000,3.960,0.577,0.923,34.200, 5.800, 4, 0,13.636,3.156,6.907,0.157,5,M_protein
5,0.085,0.001,15,49.953,27.008,22.945,214.316,5.000,3.728,0.430,0.400,29.714, 5.429, 5, 2,35.714,2.660,6.646,0.139,6,M_protein
6,0.072,0.001,17,36.874,13.929,22.945,112.667,5.000,3.596,0.351,0.353,49.333, 4.444, 5, 0,50.000,1.821,3.957,0.116,7,M_protein
7,0.071,0.001,16,69.143,37.744,31.398,264.587,5.000,4.028,0.696,0.375,21.833, 6.000, 5, 3,52.941,3.287,9.191,0.141,8,M_protein
8,0.057,0.044,39,131.913,30.156,101.757,439.965,29.438,3.951,0.518,0.821,44.818, 4.182, 4, -1,30.769,4.255,10.031,0.071,9,M_protein
9,0.043,0.001,28,45.526,14.128,31.398,166.460,17.000,3.860,0.707,0.643,34.667, 3.000, 2, 0,47.368,1.194,3.731,0.248,10,M_protein
10,0.037,0.002,26,105.534,46.360,59.174,365.192,16.000,4.063,0.569,0.654,48.714, 4.714, 3, 1,31.818,3.791,8.528,0.385,11,M_protein
11,0.024,0.001,22,55.243,21.429,33.814,146.518,20.000,3.651,0.595,0.955,30.400, 4.400, 4, 0,22.222,1.777,4.404,0.072,12,M_protein
12,0.018,0.001,22,109.997,50.823,59.174,386.605,12.000,4.078,0.640,0.591,39.667, 6.000, 4, 2,32.000,4.028,9.199,0.156,13,M_protein
13,0.002,0.007,49,163.310,65.492,97.818,539.702,16.095,3.941,0.486,0.429,34.778, 4.444, 5, 1,34.375,4.298,10.674,0.144,14,M_protein
14,-0.020,0.001,17,65.007,13.079,51.928,180.856,12.000,3.844,0.474,0.765,61.250, 6.750, 3, 0,21.429,2.058,4.140,0.000,15,M_protein
15,-0.062,0.001,22,98.830,43.279,55.551,346.725,15.000,4.273,0.523,0.727,-0.333, 4.111, 8, 1,35.294,2.736,6.558,0.258,16,M_protein
0,0.450,0.031,15,59.135,20.490,38.644,232.706,5.000,4.077,0.745,0.400,33.800, 4.200, 3, 1,46.667,2.648,7.519,0.062,1,ORF6
0,0.192,0.981,206,542.557,223.585,318.972,2130.207,34.388,3.955,0.461,0.500,20.404, 4.298, 28, 3,37.008,12.526,35.035,0.224,1,nsp2
1,0.155,0.761,85,136.859,44.129,92.730,572.343,40.784,3.864,0.454,0.600,23.444, 4.000, 10, -2,34.694,5.170,10.989,0.266,2,nsp2
2,0.148,0.012,18,21.465,2.143,19.322,113.628,17.000,3.489,0.350,1.000,65.556, 4.556, 1, 1,12.500,2.549,5.576,0.019,3,nsp2
3,0.136,0.108,33,73.196,23.683,49.513,345.886,21.826,3.864,0.470,0.697,26.364, 4.182, 5, 2,34.615,4.235,11.779,0.213,4,nsp2
4,0.103,0.005,19,10.596,2.143,8.453,75.384,16.000,3.528,0.372,0.895,42.800, 4.500, 3, 0,30.769,1.554,3.589,0.165,5,nsp2
5,0.088,0.019,35,120.828,48.371,72.458,467.518,10.444,3.855,0.629,0.514,10.636, 4.182, 8, 1,43.750,5.582,14.901,0.218,6,nsp2
6,0.068,0.044,26,37.265,2.165,35.100,132.374,25.000,3.682,0.426,1.000,58.625, 4.125, 1, 0,16.667,2.162,5.136,0.083,7,nsp2
7,0.059,0.005,17,43.672,8.572,35.100,136.036,13.000,3.707,0.469,0.824,78.875, 4.500, 1, 0,26.667,2.584,6.083,0.025,8,nsp2
8,0.055,0.001,16,16.270,5.402,10.869,94.744,10.000,3.663,0.432,0.688,37.500, 5.000, 4, 2,30.769,1.355,2.648,0.309,9,nsp2
9,0.055,0.002,20,31.951,15.045,16.907,122.901,10.000,3.647,0.391,0.550,53.889, 4.222, 3, -1,37.500,1.931,4.155,0.022,10,nsp2
10,0.045,0.007,31,118.213,52.922,65.291,535.917,16.556,4.000,0.573,0.581,18.438, 3.750, 8, 1,38.462,5.058,10.220,0.303,11,nsp2
